CUST_ID,BALANCE,PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS
290,5469.851311,0,512.792701,0,0,6000,1362.966798,2019.027883
291,280.142117,2236.49,0,1,34,10000,1986.838064,233.614975
292,5790.930626,464.51,2516.727082,0.416667,10,6000,1515.594331,2092.915898
293,3605.714046,1779,0,0.166667,2,5000,856.05828,761.012234
294,3992.261885,0,348.834361,0,0,4000,1057.678259,1229.820066
295,41.833264,456.36,0,1,14,6000,370.996177,163.287618
296,635.090434,5758.71,0,0.75,48,2900,7943.57021,197.416104
297,1521.1681,245.98,2792.67597,0.166667,2,6000,2261.523522,388.258009
298,5547.092593,0,3298.958165,0,0,12000,1786.142816,1351.998523
299,2503.107213,733.9,0,1,13,3000,1620.193277,857.535876
300,191.450711,1641.07,380.972341,0.666667,15,500,1583.918811,137.046292
301,3621.70204,674.73,1684.957411,0.25,12,4000,1139.058595,1403.477006
302,2762.479434,2702.47,0,1,27,11000,7596.768364,1013.086448
303,4338.606862,0,1817.569093,0,0,8000,8019.800702,964.118618
304,388.873921,1579.15,0,0.583333,15,2700,451.600059,199.955286
305,9261.310686,0,8603.045938,0,0,11000,1933.413908,2576.552758
306,208.131845,2161.38,0,1,41,4500,2059.879468,165.05215
307,169.088238,1482.19,0,1,26,6000,1289.570234,173.686552
308,133.911556,1446.05,0,1,16,3500,1364.121036,186.240772
309,1613.34907,0,1606.322681,0,0,4500,312.433361,648.139459
310,566.908563,397.06,0,0.666667,12,2100,0,
311,53.208422,498.17,0,0.916667,14,15000,611.606459,162.94308
312,1329.967543,2009.12,1763.794583,1,36,2500,2715.972095,956.330023
313,515.904786,5359.02,0,1,60,6000,0,
314,927.041961,0,402.974164,0,0,1000,719.974244,339.553093
315,1872.767651,0,3394.509419,0,0,5500,1151.721386,627.015802
316,185.396312,0,842.456926,0,0,1000,117.542764,137.6915
317,4823.822993,0,6481.300951,0,0,7000,863.62306,1148.631716
318,994.105777,126.2,0,0.833333,10,1950,314.302968,417.290247
319,40.089221,225,0,1,12,1500,325.578502,286.122587
320,0.478714,734.97,0,0.833333,16,6000,1159.135064,
321,4732.37354,14.95,2173.356068,0.083333,1,5700,1289.284068,1172.289863
322,9206.811696,874.98,4653.693195,0.75,16,12500,2055.100879,2199.077716
323,6719.376505,0,2443.262416,0,0,7500,1493.089193,2488.976669
324,2233.074041,445.2,0,0.166667,4,8000,1042.991769,579.587654
325,1867.649838,0,3264.573342,0,0,4500,476.162309,401.970276
326,57.842746,689.34,0,1,24,1500,453.842413,148.28357
327,4194.033835,2006.87,0,0.666667,26,21000,19714.09728,1479.309409
328,2459.862339,678,927.25167,1,12,2500,1926.31853,1933.173023
329,850.630114,0.05,1700.634586,0.083333,1,1000,1084.281127,367.409536
330,353.198215,3085.69,0,1,21,8500,2690.525687,192.66679
331,2669.160638,0,142.141325,0,0,3000,642.777061,1122.076137
332,92.440743,1080,0,0.75,12,6000,1077.058667,169.005281
333,706.675991,2721.16,0,1,32,6500,4952.900653,280.821958
334,361.319366,3095.96,0,1,32,14000,4003.782858,197.186568
335,2324.086254,0,1600.758078,0,0,2300,2147.890523,2077.873573
336,2922.487907,71.07,3595.158425,0.25,3,9500,9226.751112,797.250949
337,98.364739,65,0,0.166667,2,1200,718.794328,53.655347
338,498.208616,4786.61,0,0.916667,61,9000,3805.669705,163.459999
339,16.93339,174.42,0,0.333333,5,2500,347.08638,149.301101
340,3355.631092,242.88,0,1,12,13500,6084.115091,890.639118
341,907.982017,216.94,1011.997944,0.166667,3,3200,222.02316,300.210049
342,1132.386178,2246.3,14048.07181,0.333333,8,6000,32048.6122,406.790252
343,1254.6691,361.73,198.686744,0.166667,2,1500,535.606816,432.68808
344,80.336636,330,0,0.1,1,1800,345.330572,85.297166
345,260.838885,2854.11,0,1,51,9500,2437.332725,176.283228
346,17.356961,390,0,0.5,7,2000,302.454171,74.667401
347,1897.672025,422.18,0,1,12,5500,2961.632199,440.30634
348,1032.241153,1005.52,0,1,33,3000,1866.265366,237.328382
349,3536.601227,2132.93,5340.016172,1,74,11000,8251.146946,834.025674
350,21.580264,284.72,0,0.666667,16,5000,344.161416,155.792859
351,4211.539631,0,455.581546,0,0,10500,1288.287239,1164.178674
352,1732.715258,3244.16,0,1,29,11500,5674.185857,563.827502
353,8939.461145,2490.17,5309.949725,0.5,8,9500,3957.017497,4951.58548
354,36.567901,1098.31,0,0.083333,1,4800,0,
355,41.754778,636.15,0,0.166667,5,8500,918.414211,57.150516
356,1937.246177,3018.93,0,1,99,5000,3909.837604,444.12429
357,99.955082,1222.97,0,1,16,19500,1142.077891,185.657751
358,5135.604593,110.18,6551.99521,0.333333,4,6000,1716.998424,2463.472147
359,214.896542,0,1192.015721,0,0,3000,2298.902197,214.263752
360,1543.287931,0,36.481832,0,0,1800,548.589391,529.340488
361,601.92037,983.77,0,0.666667,15,2400,389.411161,219.465695
362,1261.05733,0,474.429843,0,0,1500,866.865018,354.381003
363,85.285023,423.24,0,0.625,9,11000,296.01675,134.448872
364,1903.688611,6079.5,10227.22894,0.916667,31,7300,18552.39489,762.263884
365,813.068705,439.38,727.658311,0.083333,2,1200,237.996469,265.708814
366,1279.325142,1207.25,0,1,59,1200,1282.705869,1300.596775
367,237.669312,259.13,0,0.083333,1,2300,2680.635587,2503.374595
368,5747.761139,1627.69,0,1,49,5500,2507.704747,7490.453967
369,7760.940543,0,3423.085934,0,0,8000,2845.010795,2459.741299
370,6388.108487,0,3768.696678,0,0,8000,10973.14532,2384.817152
371,426.372628,5749.96,0,1,50,12000,5711.540654,202.73209
372,8806.866629,1490.94,2813.063846,1,25,9000,2116.662516,3598.719728
373,282.934373,0,2333.150712,0,0,3000,0,
374,1128.229387,5068.88,0,1,76,4500,3904.568067,373.931063
375,2045.541408,1067.28,0,1,30,2000,2021.775795,3073.416298
376,8.520292,64.12,0,0.166667,2,7000,176.600545,76.462301
377,11278.95243,6855.59,0,0.916667,39,18500,4868.088671,2861.890896
378,143.443832,1631,0,0.583333,7,2500,2550.799492,157.269321
379,241.223955,180.91,0,0.166667,6,1400,802.858576,220.455533
380,1528.571561,0,172.931118,0,0,1600,353.582373,559.030296
381,12474.72954,136.88,515.147607,0.166667,2,14000,3519.008859,3430.627754
382,566.147105,0,187.572355,0,0,2000,1177.661577,190.365154
383,1077.606225,343.21,1609.900552,0.25,4,1500,930.328071,3245.693485
384,1.838084,16.5,0,0.083333,1,6000,57.595083,67.1925
385,507.144348,5708.18,0,1,47,4000,5589.952268,232.131169
386,816.82453,42.3,3967.709973,0.1,1,6000,361.853722,645.320421
387,1526.506915,46.67,0,0.083333,1,1800,338.413344,642.547142
388,7957.017218,0,4909.937494,0,0,9000,677.144841,27631.45072
389,79.189929,699.12,0,1,24,2500,697.977603,183.858351
390,497.908027,245.39,0,0.583333,7,4000,328.796655,165.308304
391,681.95925,98,0,0.166667,2,4000,192.369983,221.375942
392,1535.248256,857.36,0,1,13,6550,3239.629759,411.871046
393,1508.513765,2747.12,246.046033,0.25,4,5000,4730.374245,481.558276
394,11209.37076,11147.33,2728.576925,1,126,11000,7932.77402,17494.90735
395,201.3504,600,0,0.5,6,1000,249.066308,184.776562
396,2502.264409,0,2368.872642,0,0,10000,541.308981,724.956358
397,4543.789386,255.12,0,0.666667,11,8500,1703.332126,1121.510137
398,918.342234,1221.53,1078.788118,0.333333,2,1200,1421.035206,106.039362
399,5066.744231,0,1974.503664,0,0,13000,1336.016317,1606.963379
400,2259.431829,780.64,1227.555485,1,22,3500,663.553502,483.836254
401,437.789873,1532.1,0,0.75,14,5000,1834.368953,212.770698
402,2025.162877,778.33,0,0.916667,28,2000,1411.329676,1430.50774
403,3770.560441,964.06,5140.287889,0.875,8,6000,565.71913,1241.283569
404,140.730723,1667.13,0,1,38,13000,1669.260634,208.701639
405,5523.999416,0,4087.167822,0,0,8000,0,
406,3298.692478,1088.83,0,0.416667,6,9000,6862.520735,994.384835
407,150.699542,648.64,0,0.333333,5,2500,0,
408,1874.843394,0,120.178123,0,0,2100,444.783009,671.420908
409,3024.629054,0,2171.139178,0,0,4500,4226.578611,691.692633
